Conference,2018,2019,2020,2021,2022,2023
14th IFAC Workshop on Time Delay Systems TDS 2018,DISCO (4),,,,,
14th ISIE SEM Conference : Transforming socio-economic metabolism in times of multiple crises,,,,,STEEP (1),
"14th International Conference Levures, modèles et outils",,,,MAMBA (1),,
14th International Conference of the ERCIM WG on Computational and Methodological Statistics (CMStatistics 2021),,,,ASTRAL (1),,
14th International Conference on Agents and Artificial Intelligence,,,,,BONUS (1),
14th International Conference on Computational Intelligence and Communication Networks (CICN),,,,,COMETE (1),
14th International Conference on Hydroinformatics,,,,,,LEMON (1)
14th International Conference on Interactive Theorem Proving (ITP 2023),,,,,,PICUBE (1)
14th International Conference on Large-Scale Scientific Computations,,,,,,COFFEE (1)
14th International Conference on Mathematical and Numerical Aspects of Wave Propagation,,POEMS (1) IDEFIX (1),,,,
14th International Conference on Network and Service Management (CNSM 2018),MIMOVE (1),,,,,
14th International Conference on Social Robotics,,,,,LARSEN (1),
14th International IUPAC Congress,,BONSAI (1),,,,
"14th International Symposium ""Intelligent Systems - 2020""",,,PIXEL (2),,,
14th International Symposium on Computer Music Multidisciplinary Research (CMMR'19),,WIMMICS (1),,,,
14th NASA Formal Methods Symposium (NFM 2022),,,,,VERIDIS (2),
14th Scheduling for Large Scale Systems Workshop,,DATAMOVE (1),,,,
14th WCCM-ECCOMAS Congress 2020,,,,SERENA (1),,
14th Workshop on Graph-Based Natural Language Processing (TextGraphs 2020),,,MAGNET (1),,,
14th World Congress on Computational Mechanics (WCCM) 2020,,,,ELAN (1),,
"14th World Congress on Computational Mechanics, WCCM-ECCOMAS",,,,SERENA (1),,
14th international conference on high speed machining 2018,HEPHAISTOS (1),,,,,
14ème Colloque National en Calcul des Structures (CSMA 2019),,ELAN (1),,,,
14ème Congrès de la SFPO - société Française des Pharmaciens Oncologues,,,,,,COMPO (1)
15 th IEEE International Symposium on Biomedical Imaging (ISBI 2018),GALEN-POST (1),,,,,
15e colloque national en calcul des structures,,,,,MATHERIALS (1) SERENA (1),
15emes rencontres Plantes Bactéries,,,,,BIOCORE (1),
15th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),,,,SPIRALS (1),,
15th IEEE International Conference on Advanced Video and Signal-based Surveillance,STARS (2),,,,,
15th IFAC Workshop on Time Delay Systems,,DISCO (1) DISCO (1),,,,
15th IFToMM World Congress,,AUCTUS (1),,,,
15th International Colloquium on Theoretical Aspects of Computing (ICTAC 2018),PARSIFAL (1),,,,,
15th International Conference on Cellular Automata for Research and Industry,,,,,QuaCS (1),
15th International Conference on Logic Programming and Non-monotonic Reasoning (LPNMR 2019),,GRAPHIK (1),,,,
15th International Conference on Network and Service Management (CNSM),,DIONYSOS (1),,,,
15th International Conference on Quantitative Evaluation of SysTems (QEST 2018),COMETE (1),,,,,
"15th International Conference on Semantic Systems, SEMANTiCS 2019. The Power of AI and Knowledge Graphs",,WIMMICS (2),,,,
15th International Symposium on Foundations & Practice of Security (FPS – 2022).,,,,,CASCADE (2) GRACE (1),
15th International Symposium on NASA Formal Methods (NFM 2023),,,,,,ANTIQUE (1)
15th International Workshop on Human-Friendly Robotics,,,,,AUCTUS (1),
15th Social Simulation Conference,,CHROMA (1),,,,
"15th annual event of the ETPN – European Technology Platform on Nanomedicine, ETPN2020",,,BIGS (1),,,
16-th IEEE International Conference on Advanced Video and Signal-based Surveillance (AVSS),,STARS (1),,,,
16th ACM Conference and Exhibition on Computer Graphics and Interactive Techniques (SIGGRAPH Asia 2023),,,,,,MFX (1)
16th Asian Conference on Computer Vision(ACCV2022),,,,,MORPHEO (1),
16th ERCOFTAC SIG15 Workshop on Modelling of wall bounded turbulent natural convection,,CAGIRE (1),,,,
16th European Control Conference (ECC 2018),DISCO (4),,,,,
16th IEEE International Symposium on Biomedical Imaging (ISBI),,Empenn (1),,,,
16th IFAC Symposium on Advanced Control of Chemical Processes ADCHEM 2021,,,,BIOCORE (1),,
16th Int. Conf. on Computational Methods in Systems Biology,Lifeware (1),,,,,
"16th International Conerence on Control, Automation, Robotics and Vision",,,CHORALE (1),,,
16th International Conference on Metadata and Semantics Research (MTSR 2022),,,,,ALMAnaCH (1),
16th International Conference on Network and Service Management (CNSM),,,DIONYSOS (1),,,
16th International Conference on Project Management and Scheduling - PMS 2018,TROPICAL (1),,,,,
16th International Joint Conference on Biomedical Engineering Systems and Technologies,,,,,,AVALON (1)
"16th International Symposium on High Pressure Low Temperature Plasma Chemistry (HaKone XVI), Sept. 2-7, 2018, Beijing (CHINA)",CARDAMOM (4),,,,,
"16th International Symposium on Orthogonal Polynomials, Special Functions and Applications",,,,,MONC (1),
16th International Workshop on OpenMP,,,BEAGLE (1) AVALON (1),,,
16th International Workshop on Satisfiability Modulo Theories (SMT 2018),PARSIFAL (1),,,,,
16th International Workshop on Termination,DEDUCTEAM (1),,,,,
16th Junior Researcher Workshop on Real-Time Computing,,,,,,KOPERNIC (1)
"16th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology",,ALMAnaCH (1),,,,
16th Workshop on Approximation and Online Algorithms (WAOA 2018),ABS (1) COATI (1),,,,,
16ème Congrès Francophone de Techniques Laser pour la mécanique des fluides,FLUMINANCE (3),,,,,
"16ème Congrès Français d'Acoustique, CFA2022",,,,,MAKUTU (6) MULTISPEECH (3) POEMS (1) TONUS (1) MONC (1),
16ème Journées de l'Hydrodynamique,LEMON (1),,,,,
"176th Meeting of the Acoustical Society of America (ASA) and 2018 Acoustics Week Canada of the Canadian Acoustical Association,",GAMMA (1),,,,,
17th Conference of the International Federation of Classification Societies,,,,,STATIFY (1),
"17th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2022)",,,,,DEDUCTEAM (1) QuaCS (1),
17th Congress of the EACPT,,,,,COMPO (1),
17th ERCOFTAC SIG15/MONACO2025 workshop: Turbulent natural convection flows in differentially heated cavities,,,,,,CAGIRE (4)
17th ERCOFTAC SIG15/MONACO_2025 workshop: Turbulent natural convection flows in differentially heated cavities,,,,,,CAGIRE (1)
17th European Turbulence Conference (ETC-2019),,CAGIRE (1),,,,
17th IFIP Conference on Human-Computer Interaction (INTERACT),,LOKI (2),,,,
17th International Conference on Computational Intelligence Methods for Bioinformatics and Biostatistics (CIBB),,,,OPIS (1),,
"17th International Conference on Control, Automation, Robotics and Vision",,,,,ACENTAURI (1),
17th International Conference on Frontiers in Handwriting Recognition (ICFHR),,,LACODAM (1),,,
17th International Conference on Generative Programming: Concepts & Experiences (GPCE),Parkas (1),,,,,
17th International Conference on Generative Programming: Concepts and Experiences (GPCE 2018),PHOENIX-POST (1),,,,,
17th International Conference on Principles of Knowledge Representation and Reasoning {KR-2020},,,VERIDIS (1),,,
17th International Conference on Quantum Physics and Logic,,,,QuaCS (1),,
17th International Conference on Risks and Security of Internet and Systems (CRiSIS),,,,,,CIDRE (1)
17th International Conference on Security and Cryptography,,,CARAMBA (1),,,
17th International Symposium on Computer Methods in Biomechanics and Biomedical Engineering (CMBBE 2021),,,,M3DISIM (1),,
17th International Workshop on Acoustic Signal Enhancement (IWAENC),,,,,MULTISPEECH (1),
17th International Workshop on Ontology Matching,,,,,WIMMICS (1),
17th International Workshop on Ontology Matching : OM-2022,,,,,HeKA (1),
17th Scandinavian Symposium on Chemometrics (SSC17),,,,SISTM (1) ASTRAL (1),,
17èmes Journées AFADL 2018 - Approches Formelles dans l'Assistance au Développement de Logiciels,CELTIQUE (1),,,,,
17èmes Journées AFADL : Approches Formelles Dans L'assistance Au Développement De Logiciels,FUN (1),,,,,
18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,,,,,,ALMAnaCH (7) SEMAGRAMME (3) HeKA (1)
"18e Conférence en Recherche d'Information et Applications,  16e Rencontres Jeunes Chercheurs en RI,  30e Conférence sur le Traitement Automatique des Langues Naturelles,  25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues",,,,,,SEMAGRAMME (1)
18e journées Approches Formelles dans l'Assistance au Développement de Logiciels,,QuaCS (1),,,,
"18th CIMT Annual Meeting, CIMT 2021",,,,BIGS (1),,
"18th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2023)",,,,,,MOCQUA (1) QuaCS (1)
18th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN 2009),,BIPOP (1) DEMAR (1),,,,
"18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (IEEE/ACM CCGrid)",TADAAM (1),,,,,
18th IFAC Workshop on Control Applications of Optimization (CAO 2022),,,,,DISCO (1),
18th IFIP Conference on Human-Computer Interaction (INTERACT),,,,LOKI (1) EX-SITU (1),,
18th International Conference on Integrated Formal Methods (iFM 2023),,,,,,VERIDIS (1)
18th International Conference on Principles of Knowledge Representation and Reasoning (KR-2021),,,,TAU (1),,
18th International Conference on Web Engineering (ICWE 2018),VALDA (2),,,,,
"18th International Workshop on Automated Verification of Critical Systems (AVOCS 2018), Jul 2018, Oxford, United Kingdom. Electronic Communications of the EASST Open Access Journal",KAIROS (1),,,,,
18th International Workshop on Ontology Matching (OM 2023),,,,,,WIMMICS (1) HeKA (1)
18ème Conférence internationale sur l'Extraction et Gestion des Connaissances (EGC 2018),ORPAILLEUR (1),,,,,
19e congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision (ROADEF 2018),INOCS (1),,,,,
19th ACM/IFIP International Middleware Conference,MYRIADS (1),,,,,
19th IEEE International Conference on Data Mining (ICDM) Demo,,BEAGLE (1),,,,
19th IEEE International Workshop on Signal Processing Advances in Wireless Communications,DIANA (1),,,,,
"19th IEEE International Workshop on Signal Processing Advances in Wireless Communications, SPAWC 2018",DYOGENE (1),,,,,
19th International Symposium on Automated Technology for Verification and Analysis (ATVA 2021),,,,MEXICO (1) MEXICO (1),,
19th International Symposium on Dynamic Games and Applications,,,,,NEO (2),
19th International Symposium on the Application of Laser and Imaging Techniques to Fluid Mechanics,FLUMINANCE (1),,,,,
19th Italian Conference on Theoretical Computer Science,FOCUS (2),,,,,
19th World Congress of Basic & Clinical Pharmacology 2023,,,,,,SISTM (1)
"19th annual Conference and Members’ Meeting of the Text Encoding Initiative Consortium (TEI) -What is text, really? TEI and beyond",,ALMAnaCH (1),,,,
"19th conference on Computational Methods in Systems Biology, CMSB 2021",,,,CAPSID (1),,
"19w5209 - Herglotz-Nevanlinna Theory Applied to Passive, Causal and Active Systems",,POEMS (1),,,,
1st Declarative Problem Solving Workshop (DPSW 2020) @ ECAI 2020,,,LACODAM (1),,,
1st Grid’5000-FIT school,LS2N - équipe STACK (1),,,,,
"1st International Conference on “Multilingual digital terminology today. Design, representation formats and management systems""",,,,,ALMAnaCH (1),
1st International Workshop on Computational Approaches to Historical Language Change 2019 (colocated with ACL 2019),,ALMAnaCH (1),,,,
1st Joint SLTU and CCURL Workshop (SLTU-CCURL 2020),,,SEMAGRAMME (1),,,
"1st SMILES (Sensorimotor Interaction, Language and Embodiment of Symbols) workshop, ICDL 2020",,,Flowers (1),,,
1st Shared Task on Multilingual Clause-level Morphology,,,,,ALMAnaCH (1),
"1st Symposium on Algorithmic Foundations of Dynamic Networks, SAND 2022",,,,,ANTIQUE (1),
1st Workshop on Automatic Text Adaptation (ATA),ALMAnaCH (1),,,,,
"1st international conference on ALgebras, Graphs and Ordered Sets",,,ORPAILLEUR (1),,,
1ère biennale de la sécurité civile : « L’acceptabilité des risques : approches pluridisciplinaires »,COAST (1),,,,,
1ères Journées GAMAE 2022,,,,,STEEP (1),
1ères rencontres académiques de l’Evaluation des objets connectés en santé,BIGS (1),,,,,
"2017 11th Asian Control Conference, ASCC 2017",DISCO (1),,,,,
2017 18th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),,DEFROST (1),,,,
2017 IEEE 3rd International Conference on Collaboration and Internet Computing (CIC),,MIMOVE (1),,,,
2017 IEEE Conference on Antenna Measurements & Applications (CAMA),NACHOS (1),,,,,
2017 IEEE International Conference on Image Processing (ICIP),GALEN (1),,,,,
2018 - 1st Symposium on Intelligent Robots: Autonomy and Vision,RAINBOW (1),,,,,
"2018 - 36th International Symposium on Computer Performance, Modeling, Measurements and Evaluation",POLARIS (1),,,,,
2018 - 40th IABSE Symposium,I4S (1),,,,,
2018 - 4èmes Journées Francophones de Médecine Nucléaire,EPIONE (2),,,,,
"2018 - AIAA Aerospace Sciences Meeting, AIAA SciTech Forum",Gamma3 (1),,,,,
2018 - Bayesian Statistics in the Big Data Era,MISTIS (1),,,,,
2018 - Conference on Deep learning: From theory to applications,DIONYSOS (1),,,,,
2018 - Doctoral symposium of the ACM/IFIP Middleware conference,MYRIADS (1),,,,,
2018 - INFORMS Annual Meeting,DIONYSOS (1),,,,,
"2018 - Reactive Flows in Deformable, Complex Media",SERENA (1) Gamma3 (1) FLUMINANCE (1),,,,,
2018 - Reactive Transport Modeling Workshop,FLUMINANCE (1),,,,,
"2018 - Workshop Rare Events, Extremes and Machine Learning",MISTIS (1),,,,,
"2018 - Workshop on ""Reverse Mathematical Methods for Reconstructing Molecular Dynamics in Single Cell""",SERPICO (1),,,,,
2018 -3rd Workshop on Molecular Communications,SOCRATE (1) FUN (1) MARACAS (1),,,,,
"2018 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",MYRIADS (1),,,,,
2018 18th International Conference on Application of Concurrency to System Design (ACSD),MEXICO (1),,,,,
2018 23rd International Conference on Engineering of Complex Computer Systems (ICECCS),VERIDIS (1),,,,,
2018 26th European Signal Processing Conference (EUSIPCO),ARAMIS (1),,,,,
2018 2nd URSI Atlantic Radio Science Meeting (AT-RASC),FACTAS (1),,,,,
2018 ACM/IFIP/USENIX International Middleware Conference,DELYS (1),,,,,
2018 AIAA Aerospace Sciences Meeting,Gamma3 (3) CARDAMOM (1),,,,,
2018 AMS Fall Western Sectional Meeting,DIONYSOS (1),,,,,
2018 Annual American Control Conference (ACC),DISCO (1),,,,,
"2018 Fluid Dynamics Conference, AIAA AVIATION Forum",Gamma3 (4),,,,,
2018 Global LIFI Congress (GLC),PHOENIX-POST (1),,,,,
2018 ICSEE - International Conference on the Science of Electrical Engineering,NON-A (1) NON-A-POST (1),,,,,
2018 IEEE 14th International Conference on Control and Automation (ICCA),CaGE (1),,,,,
2018 IEEE 21th International Conference on Intelligent Transportation Systems (ITSC),RITS (1),,,,,
2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),DYOGENE (1),,,,,
2018 IEEE Information Theory Workshop (ITW),SOCRATE (1) MARACAS (1),,,,,
"2018 IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)",CoML (2),,,,,
2018 IEEE International Conference on Communications (ICC 2018),COATI (1),,,,,
"2018 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",NEO (1),,,,,
2018 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),POEMS (1),,,,,
2018 IEEE-RAS 18th International Conference on Humanoid Robots (Humanoids),RAINBOW (1),,,,,
2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),ROMA (1),,,,,
2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),PANAMA (1),,,,,
2018 IEEE/MTT-S International Microwave Symposium (IMS),APICS (1) FACTAS (1),,,,,
2018 International Conference on High Performance Computing & Simulation (HPCS),FUN (1),,,,,
2018 International Conference on High Performance Computing Simulation (HPCS),AVALON (2),,,,,
2018 International Conference on Internet of Things (ICIOT),MIMOVE (1),,,,,
2018 International Conference on Optical Network Design and Modeling (ONDM),COATI (1),,,,,
2018 International Joint Conference on Neural Networks (IJCNN),Mnemosyne (1),,,,,
2018 International Workshop on Pattern Recognition in Neuroimaging (PRNI),PARIETAL (1),,,,,
2018 Joint IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob),Mnemosyne (2),,,,,
2018 SIAM Conference on Nonlinear Waves and Coherent Structures,GeoStat (1),,,,,
2018 Seventh International BCI Meeting,ATHENA (1) NEUROSYS (1),,,,,
2018 USENIX Annual Technical Conference,Whisper (3) DELYS (1),,,,,
2018 Winter Simulation Conference,DIONYSOS (3),,,,,
2019 - 26th Summer Working Group on Model-Based Clustering,,MISTIS (1),,,,
2019 - 6th Spinal Cord MRI Workshop,,Empenn (1),,,,
2019 - Archéologie : imagerie numérique et 3D,,Hybrid (1),,,,
2019 - Fall Western Sectional Meeting of the AMS,,DIONYSOS (1),,,,
2019 - Journée Jeunes Chercheurs MACLEAN du GDR MADICS,,MODAL (1) MISTIS (1),,,,
2019 - Journées Tarantola : défis en géosciences,,AIRSEA (1),,,,
"2019 - Molecular-Guided Surgery: Molecules, Devices, and Applications V",,PANAMA (1),,,,
2019 - Multimodal Sensing and Artificial Intelligence: Technologies and Applications,,I4S (1),,,,
2019 - Parallel Solution Methods for Systems Arising from PDEs,,FLUMINANCE (1),,,,
2019 - Physics-Dynamics Coupling in Earth System Models,,AIRSEA (1),,,,
"2019 - Workshop Conservation Principles, Data and Uncertainty in Atmosphere-Ocean Modelling",,FLUMINANCE (1),,,,
"2019 - Workshop IA&Santé, PFIA",,Dyliss (1) LACODAM (1),,,,
2019 - conférence Modélisation Océan-Atmosphère,,AIRSEA (1),,,,
2019 14th Annual Conference System of Systems Engineering (SoSE),,DiverSe (1),,,,
2019 15th International Wireless Communications and Mobile Computing Conference (IWCMC),,DIONYSOS (1),,,,
2019 4th Conference on Control and Fault Tolerant Systems (SysTol),,APICS (1),,,,
2019 American Control Conference (ACC),,DISCO (1),,,,
2019 CSBC-PSON Mathematical Oncology Meeting,,MONC (1),,,,
"2019 Conference on Cognitive Neurosciences of Memory: Recollection, Familiarity and Novelty detection",,VisAGeS (1) Empenn (1),,,,
2019 European Conference on Networks and Communications (EuCNC),,MARACAS (1),,,,
2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI),,MAMBA (1),,,,
2019 IEEE 58th Conference on Decision and Control (CDC),,SPHINX (1),,,,
"2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP 2019)",,PANAMA (1) SIMSMART (1),,,,
2019 IEEE International Conference on Cluster Computing (CLUSTER),,POLARIS (1),,,,
2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),,MEMPHIS (1),,,,
2019 IEEE Real-Time Systems Symposium (RTSS),,KOPERNIC (1),,,,
2019 IEEE Vehicle Power and Propulsion Conference (VPPC),,INOCS (1),,,,
2019 IEEE/ACM 2nd International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB),,RMOD (1),,,,
2019 OHBM Annual Meeting - Organization for Human Brain Mapping,,ARAMIS (1),,,,
2019 OHBM Annual meeting - Organization for Human Brain Mapping,,ARAMIS (1),,,,
2019 SIAM International conference on Data Mining,,LinkMedia (1),,,,
2019 USENIX Annual Technical Conference,,Whisper (1),,,,
2019 VLSI  - IEEE Symposium on VLSI Technology & Circuits,,EVA (1),,,,
2020 - ACM/IFIP Middleware,,,WIDE (1),,,
2020 - Festival des libertés numériques,,,LACODAM (1),,,
2020 - Quatrièmes rencontres des jeunes chercheurs africains en France,,,STATIFY (1),,,
"2020 24th International Conference on System Theory, Control and Computing (ICSTCC)",,,DISCO (1),,,
2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,,KOPERNIC (1),,,
2020 25th International Conference on Pattern Recognition (ICPR),,,,FOCUS (1),,
2020 39th Chinese Control Conference (CCC),,,DEFROST (2),,,
2020 3rd IEEE International Conference on Soft Robotics (RoboSoft),,,DEFROST (1),,,
2020 59th IEEE Conference on Decision and Control (CDC),,,DISCO (1),,,
2020 CHI Conference on Human Factors in Computing Systems Extended Abstracts,,,ILDA (1),,,
2020 IEEE Congreso Bienal de Argentina (ARGENCON),,,CAGIRE (1),,,
2020 IEEE High Performance Extreme Computing (virtual conference),,,ROMA (1),,,
2020 IEEE International Conference on Image Processing (ICIP),,,DEFROST (1),,,
