Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0649HR;ALPINES;EP;principal;Nataf;Frederic;01-05-2023;31-12-2024;Par intérim;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/07/2014;30/06/2026;Algorithms and parallel tools for integrated numerical simulations;Algorithms and parallel tools for integrated numerical simulations;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/07/2014;30/06/2026;12/10/2016, 07/10/2021;201321071B;;10272-C, 12275-P, 14888-P, 15701-P, 16184-CR, 16185-N;021121-1;génération de maillage, solveurs linéaires, décomposition de domaine, minimisation de communications, algèbre linéaire et multilinéaire;mesh generation, linear solvers, domain decomposition, boundary element methods, communication avoiding;
SR0649HR;ALPINES;EP;;;;;;;Centre Inria de Paris;Sorbonne Université;Décision signée;01/07/2014;30/06/2026;Algorithms and parallel tools for integrated numerical simulations;Algorithms and parallel tools for integrated numerical simulations;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/07/2014;30/06/2026;12/10/2016, 07/10/2021;201321071B;;10272-C, 12275-P, 14888-P, 15701-P, 16184-CR, 16185-N;021121-1;génération de maillage, solveurs linéaires, décomposition de domaine, minimisation de communications, algèbre linéaire et multilinéaire;mesh generation, linear solvers, domain decomposition, boundary element methods, communication avoiding;
SR0631GR;ANGE;EP;principal;Salomon;Julien;01-09-2020;;Par intérim;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/01/2014;31/12/2025;Analyse Numérique, Géophysique et Environnement;Numerical Analysis, Geophysics and Environment;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/01/2014;31/12/2025;13/03/2018, 01/12/2022;201221061V;;9856-C, 10228-M, 13246-P, 14391-N, 15815-P, 16820-P;021120-1;Équations aux dérivées partielles, systèmes hyperboliques, mécanique des fluides, écoulements libres, géophysique, environnement, écologie, risques naturels, énergies durables, optimisation, contrôle, réduction de modèle, décomposition de domaine;Partial differential equations, hyperbolic systems, fluid mechanics, free flow, geophysics, environment, ecology, natural hazards, sustainable energy, optimization, control, model reduction, domain decomposition;
SR0631GR;ANGE;EP;;Sainte-marie;Jacques;;; (Non renseigné);Centre Inria de Paris;Sorbonne Université;Décision signée;01/01/2014;31/12/2025;Analyse Numérique, Géophysique et Environnement;Numerical Analysis, Geophysics and Environment;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/01/2014;31/12/2025;13/03/2018, 01/12/2022;201221061V;;9856-C, 10228-M, 13246-P, 14391-N, 15815-P, 16820-P;021120-1;Équations aux dérivées partielles, systèmes hyperboliques, mécanique des fluides, écoulements libres, géophysique, environnement, écologie, risques naturels, énergies durables, optimisation, contrôle, réduction de modèle, décomposition de domaine;Partial differential equations, hyperbolic systems, fluid mechanics, free flow, geophysics, environment, ecology, natural hazards, sustainable energy, optimization, control, model reduction, domain decomposition;
SR0894DR;ANIMA;Equipe;principal;Ronfard;Remi;01-07-2020;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;En cours de fermeture;01/07/2024;31/12/2024;Création et mise en scène des univers narratifs animés;Authoring and directing animated story worlds;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;UGA;Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/07/2020;31/12/2024;;202023598T;;14324-C, 16222-P, 17010-P;071138-0;Informatique graphique, modélisation géométrique, simulation physique, sémantique, esthétique.;Computer graphics, computer animation, geometric modeling, semantic modeling, aesthetic modeling, physical modeling.;
SR0695XR;ANTIQUE;EP;principal;Rival;Xavier;01-04-2015;;Principal;Centre Inria de Paris;Ecole Normale supérieure Paris;Décision signée;01/04/2015;31/12/2024;Analyse Statique par Interprétation Abstraite;Static Analysis by Abstract Interpretation;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS, ENS PSL;CNRS, Ecole normale supérieure de Paris;INS2I;DI-ENS [CNRS, INRIA, ENS PSL];Département d'Informatique de l'Ecole Normale Supérieure;01/04/2015;31/12/2024;20/03/2019;201421111R;;10926-C, 14025-P, 16659-P, 16998-P;021127-1;;;
SR0779DR;AOSTE2;Equipe;principal;Sorel;Yves;01-01-2017;30-06-2017;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Terminée;01/01/2019;;Models and methods of analysis and optimization for systems with real-time and embedded contraints;Models and methods of analysis and optimization for systems with real-time and embedded contraints;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Systèmes embarqués et temps réel;Embedded and Real-time Systems;;;;;;01/01/2017;01/01/2019;;201722252T;;12051-C, 12329-P, 12542-P, 12917-P, 12917-P, 13302-F;021146-0;;;
SR0642TR;ARAMIS;EP;principal;Colliot;Olivier;01-07-2014;;Principal;Centre Inria de Paris;Institut du Cerveau et de la Moelle Epinière;Décision signée;01/07/2014;30/06/2026;Algorithmes, modèles et méthodes pour les images et les signaux du cerveau humain sain et pathologique;Algorithms, models and methods for images and signals of the human brain;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CNRS, INSERM, SORBONNE UNIVERSITE;CNRS, INSERM, Sorbonne Université;INSB;ICM [CNRS, INSERM, UPMC];Institut du Cerveau et de la Moelle Epinière;01/07/2014;30/06/2026;10/10/2017, 15/05/2022;201221057R;;9887-C, 13242-P, 15197-P, 16555-P;021119-1;machine learning, data science, imagerie médicale, modèles statistiques, pathologies neurologiques;machine learning, data science, medical imaging, statistical models, neurological disorders;
SR0947DR;ARGO;EP;principal;Busic;Ana;01-10-2023;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/10/2023;30/09/2027;Apprentissage, graphes et optimisation distribuée;Learning, graphs and distributed optimization;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;ENS PSL;Ecole normale supérieure de Paris;;;;01/10/2023;30/09/2027;;202324449E;;16499-C;021163-0;;;
SR0539JR;ARIC;EP;principal;Salvy;Bruno;01-01-2016;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Laboratoire de l'Informatique du Parallélisme (LIP);Décision signée;01/01/2013;31/12/2024;Arithmétiques des ordinateurs, méthodes formelles, génération de code;Arithmetic and Computing;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;CNRS, U. LYON 1 (UCBL), ENS LYON;CNRS, Université Claude Bernard (Lyon 1), Ecole normale supérieure de Lyon;INS2I;LIP [U. LYON 1 (UCBL), ENS LYON, CNRS, INRIA];Laboratoire de l'Informatique du Parallélisme (LIP);01/01/2013;31/12/2024;17/03/2015, 19/03/2019;201221021B;;9010-C, 9692-CR, 9693-N, 10887-CR, 10888-N, 11315-P, 14017-N, 14024-P, 16661-P, 17000-P;121012-0;"arithmétique des ordinateurs; virgule flottante; calcul formel; validation des calculs; réseaux Euclidiens";"computer arithmetic; floating-point; computer algebra; numerical validation; Euclidean lattices";
SR0751VR;AROMATH;EP;principal;Mourrain;Bernard;01-07-2016;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2016;31/12/2024;Algebre geometrie Modelisation et Algorithmes;AlgebRa, geOmetry, Modeling and AlgoriTHms;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;NKUA;National & Kapodistrian University of Athens;;;;01/07/2016;31/12/2024;19/03/2019;201622154R;;11712-C, 14024-P, 16661-P, 17000-P;041015-2;"algèbre; géométrie; algorithmique; géométrie algébrique effective; modélisation géométrique";"algebra; geometry; algorithm; effective algebraic geometry; geometric modeling;";
SR0966HR;ARTISHAU;EP;principal;Furon;Teddy;01-10-2024;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/10/2024;30/09/2028;Intelligence artificielle : sécurité, traçabilité et audit;ARTificial Intelligence: Security, trutHfulness, and AUdit;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;U. RENNES;Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/10/2024;30/09/2028;;202424570G;;17280-C;031146-0;;;
SR0885KR;ASCII;EP;principal;Graham;Carl;01-01-2023;;Principal;Centre Inria de Saclay;Ecole Polytechnique - Centre de Mathématiques Appliquées (CMAP);Décision signée;01/11/2019;31/12/2027;Analyse d?interactions stochastiques intelligentes et coopératives;Analysis of Stochastic Cooperative Intelligent Interactions;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;CNRS, IP-PARIS;CNRS, Institut Polytechnique de Paris;INSMI;CMAP [CNRS, EC. POLYTECHNIQUE];Centre de Mathématiques Appliquées (CMAP);01/11/2019;31/12/2027;01/12/2022;201923478S;;13914-C, 15813-P, 15899-CR, 15900-N, 16819-P;111094-0;;;
SR0927ZR;ASTRA;EP;principal;Nashashibi;Fawzi;01-07-2022;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/07/2022;30/06/2026;Systèmes de transport automatisés et sécurisés;Automated and Safe TRAnsportation systems;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;VALEO;Valeo;;;;01/07/2022;30/06/2026;;202224314M;;15574-C;021160-0;;;
SR0901AR;ASTRAL;EP;principal;Dufour;Francois;01-01-2021;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/01/2021;31/12/2027;Méthodes avancées d?apprentissage statistique et de contrôle;Advanced StatisTical infeRence And controL;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;U. DE BORDEAUX, BORDEAUX INP, NAVAL GROUP, CNRS;Université de Bordeaux, Institut Polytechnique de Bordeaux, Naval Group, CNRS;INSMI;IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP];Institut de Mathématiques de Bordeaux (IMB);01/01/2021;31/12/2027;01/12/2022;202123933C;;14628-C, 16819-P;091068-0;Analyse des données, Apprentissage supervisé, Apprentissage non supervisé, Méthodes bayésiennes, Réseaux de neurones, Estimation, Modélisation, Outils d'optimisation, Modélisation stochastique, Probabilité numérique, Méthodes probabilistes, Méthodes statistiques, Optimisation, Contrôle stochastique, Contrôle optimal,  Apprentissage automatique;Data and knowledge analysis, Supervised learning, Unsupervised learning, Bayesian methods, Neural networks, Estimation, Modeling, Optimization tools, Stochastic Modeling, Numerical probability, Probabilistic methods, Statistical methods, Optimization, Stochastic control, Optimal control, Machine learning;
SR0433MR;ATHENA;EP;principal;Deriche;Rachid;01-07-2010;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Terminée;30/11/2022;;Imagerie computationnelle du système Nerveux Central;Computational Imaging of the Central Nervous System;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/07/2010;30/11/2022;16/10/2013, 10/10/2017, 15/05/2022;201019614F;;7436-C, 10211-P, 13242-P, 15197-P, 16105-F;041027-2;IRM de Diffusion computationnell, Electro et Magnéto-Encéphalographie, Modélisation, Modélisation.;Computational Diffusion MRI, Electro and Magneto-Encephalography;
SR0889XR;ATLANTIS;EP;principal;Lanteri;Stephane;01-02-2020;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/02/2020;31/12/2026;Modélisation et méthodes numériques pour le calcul d'interactions onde-matière nanostructurée;modeling and numerical methods for computATionaL wave-mAtter iNteracTIons at the nanoScale;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;CNRS, UCA;CNRS, Université Côte d'Azur;INSMI;LJAD [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS];Laboratoire Jean-Alexandre Dieudonné (JAD);01/02/2020;31/12/2026;12/01/2022;202023535Z;;14066-C, 15187-P, 15855-P, 16224-P;041164-0;nanophotonique, plasmonique, méta-optique, modélisation multiéchelle, méthodes numériques, calcul haute performance;nanophotonics, plasmonics, metaoptics, multiscale modeling, numerical methods, high performance computing;
SR0782ER;AUCTUS;EP;principal;Daney;David;01-04-2020;;Principal;Centre Inria de l'université de Bordeaux;Ecole Nationale Supérieure de Cognitique;Décision signée;01/04/2020;31/12/2026;Des robots au service de l'humain au travail;Robots for Humans at work;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;BORDEAUX INP;Institut Polytechnique de Bordeaux;;;;01/01/2017;31/12/2026;12/01/2022;201722256X;;12041-C, 12549-P, 13251-P, 14062-P, 14208-C, 15192-P, 15856-P;091067-0;Robotique, Cobotique, interaction Homme Robot, assistance à l'opérateur industriel;Robotics, Design, Human Robot interactions;
SR0657BR;AVALON;EP;principal;Perez;Christian;01-07-2014;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Laboratoire de l'Informatique du Parallélisme (LIP);Décision signée;01/07/2014;30/06/2026;Algorithms and Software Architectures for Distributed and HPC Platforms;Algorithms and Software Architectures for Distributed and HPC Platforms;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;U. LYON 1 (UCBL), ENS LYON, CNRS;Université Claude Bernard (Lyon 1), Ecole normale supérieure de Lyon, CNRS;INS2I;LIP [U. LYON 1 (UCBL), ENS LYON, CNRS, INRIA];Laboratoire de l'Informatique du Parallélisme (LIP);01/07/2014;30/06/2026;12/10/2016, 07/10/2021;201221039W;;10413-C, 12275-P, 14888-P, 15701-P;121013-0;;;
SR0132LR;AVIZ;EP;principal;Fekete;Jean daniel;01-03-2020;;Principal;Centre Inria de Saclay;UP Saclay - Laboratoire Interdisciplinaire des Sciences du Numérique Bât. 660 Claude Shannon;Décision signée;01/03/2020;30/06/2028;Analyse et visualisation;Analysis and VIsualiZation;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;UNIV. PARIS-SACLAY;Université Paris-Saclay;INS2I;LISN (MERGE PARTIEL LRI+LIMSI) [];Laboratoire Interdisciplinaire des Sciences du Numérique;01/01/2008;30/06/2028;21/10/2010, 15/10/2014, 03/10/2018;200818367J;;6134-C, 8097-P, 10611-N, 10610-CR, 11313-P, 11503-N, 13729-P, 14044-P, 14159-C, 16222-P, 16986-P;111020-1;Visualisation de données, Interaction Homme-Machine, Blockchain, Données incertaines, Données ouvertes, Données massives, Analyse de données et de connaissances, Analyse en ligne, Analyse de données massives, Analyse de grands graphes, Traitement de données, Biologie, Neurosciences et sciences cognitives, Science des données, Sciences humaines et sociales, Psychologie, Economie, finance;Visualization, Human-Computer Interaction, Blockchain, Uncertainty, Open Data, Big Data, Data and Knowledge Analysis, Online Analysis, Big Data Analysis, Large Graph Analysis, Data Analysis, Biology, Neurosciences and cognitives sciences,  Data Science, Humanities, Psychology, Economy and Finances;
SR0888FR;AYANA;Equipe;principal;Zerubia;Josiane;01-01-2020;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Support AEX;01/01/2020;31/12/2026;Télédetection et IA embarqués pour le ?New Space?;AI and Remote Sensing on board for the New Space;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;;;;;;01/01/2020;31/12/2026;;;;14069-C;041163-0;modélisation stochastique, traitement d?image, intelligence artificielle, télédétection, informatique embarquée;stochastic modeling, image processing, artificial intelligence, remote sensing, embedded computing;
