Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0034HR";"ADAM";"EP";principal;"Seinturier";"Lionel";"01-01-2013";"31-12-2013";"Par intérim";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2013";"";"Adaptive Distributed Applications and Middleware";"Adaptive Distributed Applications and Middleware";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"U. LILLE 1 (USTL)";"Université des sciences et technologies de Lille (Lille 1)";"";"LIFL [U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)]";"Laboratoire d'informatique fondamentale de Lille (LIFL)";"01/01/2008";"31/12/2013";"09/10/2012";"200818283T";"";"5990-C, 8357-P, 9088-CR, 9092-N, 9635-F";"101011-0";"";"";
"SR0111BR";"ADEPT";"EP";principal;"Hurfin";"Michel";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2011";"";"Algorithmes pour des systèmes dynamiques sûrs";"Algorithms for Dynamic Dependable Systems";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"U. RENNES 1, CNRS";"Université Rennes 1, CNRS";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/01/2007";"31/12/2011";"";"200718347S";"";"5432-C, 6565-P, 8051-F";"031002-1";"calcul réparti, système large echelle, système pair-à-pair, réseau de capteurs, sûreté de fonctionnement, critères de cohérence, problèmes d'accord";"distributed computing, large scale system, peer-to-peer systems, sensor networks, dependability, consistency critéria, agreement problems";
"SR0311LR";"ADOPT";"Equipe";principal;"Lechevallier";"Yves";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2000";"";"Optimisation discrète et analyse exploratrice de données";"Ordered Classification Structures and Discrimination: Algorithms and Simulation";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Bases de données, bases de connaissances, systèmes cognitifs";"Databases, Knowledge Bases, Cognitive Systems";"";"";"";"";"";"01/01/2000";"31/12/2000";"";"200022130J";"";"";"";"analyse de donnees,classification,discrimination,arbre de decision,donnees structurees,structures partiellement ordonnees";"knowledge representation,knowledge bases,object knowledge models,classification,categorisation,types,constraints,tasks,problem solving,molecular biology,multiple standpoints,medicine diagnosis,granula";
"SR0195QR";"ADP";"EP";principal;"Raynal";"Michel";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2001";"";"Algorithmes distribués et protocoles";"Distributed Algorithms and Protocols";"Réseaux et systèmes";"Networks and systems";"Architectures et systèmes";"Architectures and Systems";"";"";"";"";"";"01/01/1987";"31/12/2001";"";"198721414M";"";"";"";"algorithme réparti,application répartie,causalité,détection de propriétés,débogage réparti,multimédia,cscw,travail coopératif,r&ea";"distributed algorithm,distributed application,causality,property detection,distributed debugging,multimedia,cscw,duplicated data,fault-tolerance,reliable broadcast,distributed synchronization";
"SR0767PR";"AGORA";"Equipe";principal;"Rivano";"Herve";"01-01-2017";"";"Principal";"Centre Inria de Lyon";"Antenne INRIA Lyon La DOUA";"Terminée";"31/03/2018";"";"ALGorithmes et Optimisation pour Réseaux Autonomes";"ALGorithmes et Optimisation pour Réseaux Autonomes";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"INSA LYON";"Institut national des sciences appliquées de Lyon";"";"CITI [INSA LYON]";"Centre d'innovation en télécommunications et intégration de services";"01/01/2017";"31/03/2018";"";"201722227R";"";"11916-C, 12255-P, 12492-P, 12922-F";"071110-1";"";"wireless networks, sensors networks, hybrid networks, IoT, M2M, 5G, self-organization, optimization, smart cities";
"SR0836XR";"AGORA";"EP";principal;"Rivano";"Herve";"01-04-2018";"";"Principal";"Centre Inria de Lyon";"Centre de recherche Inria de Lyon";"Décision signée";"01/04/2018";"31/12/2025";"AlGorithmes et Optimisation pour Réseaux Autonomes";"Wireless Networks for Digital Cities";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"INSA LYON";"Institut national des sciences appliquées de Lyon";"";"CITI [INSA LYON]";"Centre d'innovation en télécommunications et intégration de services";"01/04/2018";"31/12/2025";"17/03/2020";"201722227R";"";"12790-C, 14583-P, 15179-P";"121011-0";"réseau sans fil, réseau de capteurs, réseaux hybrides, Internet des Objets, IoT, M2M, 5G, auto-organisation, optimisation, villes intelligentes";"wireless networks, sensors networks, hybrid networks, IoT, M2M, 5G, self-organization, optimization, smart cities";
"SR0312VR";"AID";"Equipe";principal;"Trousse";"Brigitte";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"06/11/2001";"";"Gestion des connaissances pour l'aide à la conception coopérative";"Knowledge Management For Cooperative Design";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Bases de données, bases de connaissances, systèmes cognitifs";"Databases, Knowledge Bases, Cognitive Systems";"";"";"";"";"";"01/01/1999";"06/11/2001";"";"199921478E";"";"";"";"corrélation de points de vue,raisonnement par cas,réutilisation,raisonnement topique,classification,conception,world wide web,intranet,internet,indexation,extraction d'informations,docum";"viewpoint,correlation,case-based reasoning,classification,qualitative reasoning,design,web,intranet,internet,reuse,indexation,information  extraction,document,knowledge,technical memory,enterprise mem";
"SR0196QR";"AIDA";"EP";principal;"Nicolas";"Jacques";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2001";"";"Modélisation et Apprentissage pour l'Interprétation de Données et l'Aide à la décision";"Modeling and Machine Learning for Data Interpretation and Decision Assistance";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Bases de données, bases de connaissances, systèmes cognitifs";"Databases, Knowledge Bases, Cognitive Systems";"";"";"";"";"";"01/01/1999";"31/12/2001";"";"199921416M";"";"";"";"intelligence artificielle,assistance intelligente,diagnostic basé sur les modèles,apprentissage automatique,recherche documentaire,aide À la surveillance,apprentissage de sc&eacut";"artificial intelligence,intelligent assistance,model-based diagnosis,machine learning,information retrieval,monitoring assistance,chronicles acquisition, grammatical inference,data analysis,automatic";
"SR0919VR";"AIO";"EP";principal;"Watteyne";"Thomas";"01-03-2022";"";"Principal";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Décision signée";"01/03/2022";"28/02/2026";"Mise en réseau fiable, sans fil à faible consommation et micro-robotique";"Dependable Networking, Low-Power Wireless and Micro-Robotics";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"";"";"";"";"";"01/03/2022";"28/02/2026";"";"202224247P";"";"15322-C";"021159-0";"Smart Dust, Low-Power Wireless Networking, Security in Constrained Systems, Swarm Robotics, Vehicle Area Networking";"Smart Dust, Low-Power Wireless Networking, Security in Constrained Systems, Swarm Robotics, Vehicle Area Networking";
"SR0197IR";"AIR";"EP";principal;"Herlin";"Isabelle";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2002";"";"Traitement d'image et données satellites dynamiques";"Image Processing and Dynamic and Satellite Data";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Vision, analyse et synthèse d'images";"Vision, Image Analysis and Synthesis";"";"";"";"";"";"01/01/1995";"31/12/2002";"";"199521502Y";"";"3543-P";"";"cartographie,contour actif,contour spatio-temporel,déformation,évolution temporelle,fonction implicite,fusion de données,imagerie radar,méthode variationnelle,modèle";"cartography,active contour,pde,elastic deformation,geometrical deformation,image analysis,markov random field model,motion,non-linear deformation,remote sensing,scientific visualization,sea-ground-atm";
"SR0313BR";"AIR2";"Equipe";principal;"Herlin";"Isabelle";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2003";"";"Traitement d'image et donnees satellites dynamiques (action)";"";"Systèmes numériques";"Numerical systems";"Optimisation et problèmes inverses en stochastique ou en grande dimension";"Optimisation and inverse problems for stochastic or large-scale systems";"";"";"";"";"";"01/01/2003";"31/12/2003";"";"200321512Z";"";"";"";"traitement d'image, télédétection, problème inverse, assimilation de données, fusion de données, évolution temporelle";"image processing, remote sensing, inverse problem, data assimilation, data fusion, temporal evolution";
"SR0314YR";"AIRELLE";"Equipe";principal;"Bisseret";"André";"";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"31/12/2001";"";"Représentations et Langages";"Representation and Languages";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Bases de données, bases de connaissances, systèmes cognitifs";"Databases, Knowledge Bases, Cognitive Systems";"";"";"";"";"";"01/09/1999";"31/12/2001";"";"199921480G";"";"";"";"psychologie cognitive,représentation mentale,activité de conception,activité langagière,rédaction de texte,compréhension de texte et d'image,interaction homme";"cognitive psychology,mental representation,design activity,language activity,text drafting,text and picture comprehension,man-machine interaction,multimedia documents";
"SR0664QR";"AIRSEA";"Equipe";principal;"Debreu";"Laurent";"01-01-2015";"31-12-2015";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Laboratoire LIG- Bâtiment IMAG";"Terminée";"01/04/2016";"";"mathematics and computing applied to oceanic and atmospheric flows";"mathematics and computing applied to oceanic and atmospheric flows";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"UJF (GRENOBLE), GRENOBLE INP";"Université Joseph Fourier (Grenoble), Institut polytechnique de Grenoble";"";"";"";"01/01/2015";"01/04/2016";"";"201521159N";"";"10471-C, 11278-P, 11567-F";"071123-0";"méthodes déterministes et statistiques; modélisation; réduction de modèle; gestion des incertitudes; calcul haute performance; océan ;atmosphère";"Deterministic and statistical methods; Modelling; Model reduction; Uncertainties; High performance computing; ocean; atmosphere";
"SR0738DR";"AIRSEA";"EP";principal;"Vidard";"Patrick";"01-07-2023";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Laboratoire LJK- Bâtiment IMAG";"Décision signée";"01/04/2016";"31/12/2027";"Mathématiques et calcul scientifique appliqués aux écoulements océaniques et atmosphériques";"Mathematics and computing applied to oceanic and atmospheric flows";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"UGA, CNRS";"Université de Grenoble Alpes, CNRS";"INSMI";"LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire Jean Kuntzmann (LJK)";"01/04/2016";"31/12/2027";"13/03/2018, 01/12/2022";"201521159N";"";"11554-C, 13246-P, 15815-P, 16264-CR, 16267-N, 16820-P";"071123-1";"méthodes déterministes et statistiques; modélisation; réduction de modèle; gestion des incertitudes; calcul haute performance; océan ;atmosphère";"Deterministic and statistical methods; Modelling; Model reduction; Uncertainties; High performance computing; ocean; atmosphere";
"SR0933ZR";"AISTROSIGHT";"EP";principal;"Berry";"Hugues";"01-01-2023";"";"Principal";"Centre Inria de Lyon";"Centre de recherche Inria de Lyon";"Décision signée";"01/01/2023";"31/12/2026";"La pharmacologie des neurones et des astrocytes à l?aide des sciences du numérique";"Viewing neuron-astrocyte pharmacology through digital sciences";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Neurosciences et médecine numériques";"Computational Neuroscience and Medicine";"U. LYON 1 (UCBL), HCL - CHU LYON, THERANEXUS";"Université Claude Bernard (Lyon 1), Hospices Civils de Lyon - Centre Hospitalier de Lyon, Theranexus";"";"";"";"01/01/2023";"31/12/2026";"";"202324373X";"";"15891-C";"121028-0";"B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique";"B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique";
"SR0933ZR";"AISTROSIGHT";"EP";;;;;;;"Centre Inria de Lyon";"Centre d'Etude et de Recherche Multimodal Et Pluridisciplinaire en imagerie du vivant (CERMEP)";"Décision signée";"01/01/2023";"31/12/2026";"La pharmacologie des neurones et des astrocytes à l?aide des sciences du numérique";"Viewing neuron-astrocyte pharmacology through digital sciences";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Neurosciences et médecine numériques";"Computational Neuroscience and Medicine";"U. LYON 1 (UCBL), HCL - CHU LYON, THERANEXUS";"Université Claude Bernard (Lyon 1), Hospices Civils de Lyon - Centre Hospitalier de Lyon, Theranexus";"";"";"";"01/01/2023";"31/12/2026";"";"202324373X";"";"15891-C";"121028-0";"B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique";"B.1.2.3. Neurosciences computationnelles, B.1.2.1. Compréhension et simulation du cerveau et du système nerveux, A3.1. Données, A3.1.1. Modélisation, représentation, A3.2. Connaissances,  A6.1. Outils mathématiques pour la modélisation, A6.1.4. Modélisation multiéchelle,  A6.1.3. Modélisation discrete (multi-agent, individus centrés) , B.1.1.7. Biologie computationnelle, B.1.1.10. Biologie des systèmes et biologie synthétique";
"SR0198FR";"ALADIN";"EP";principal;"Erhel";"Jocelyne";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2003";"";"Algorithmes adaptés au calcul numérique intensif";"Algorithms Adapted to Intensive Numerical Computing";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/01/1992";"31/12/2003";"";"199221418V";"";"3132-P, 4043-F";"";"calcul scientifique,algèbre linéaire,équation différentielle,parallélisme,erreur,aquarels";"scientific computing,linear algebra,differential equations,parallelism,errors,aquarels";
"SR0135SR";"ALCHEMY";"EP";principal;"Temam";"Olivier";"";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/12/2010";"";"Architectures, Languages and Compilers to Harness the End of Moore Years";"Architectures, Languages and Compilers to Harness the End of Moore Years";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture et compilation";"Architecture and Compiling";"U. PARIS 11 (P.-SUD), CNRS";"Université Paris-Sud (Paris 11), CNRS";"";"LRI [U. PARIS 11 (P.-SUD), CNRS]";"Laboratoire de recherche en informatique (LRI)";"01/07/2007";"31/12/2010";"";"200718370S";"";"5804-C, 6070-R, 7644-F";"111022-0";"";"";
"SR0453MR";"ALCHEMY";"Equipe";principal;"Eisenbeis";"Christine";"01-01-2011";"30-06-2011";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"30/06/2011";"";"Architectures, Languages and Compilers to Harness the End of Moore Years";"Architectures, Languages and Compilers to Harness the End of Moore Years";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture et compilation";"Architecture and Compiling";"CNRS, U. PARIS 11 (P.-SUD)";"CNRS, Université Paris-Sud (Paris 11)";"";"LRI [U. PARIS 11 (P.-SUD), CNRS]";"Laboratoire de recherche en informatique (LRI)";"01/01/2011";"30/06/2011";"";"200718370S";"";"7857-C";"111022-0";"architecture, optimisation de programmes, compilation";"architecture, program optimization, compilation";
"SR0033UR";"ALCOVE";"EP";principal;"Chaillou";"Christophe";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2009";"";"Agir et collaborer sur des objets virtuels complexes";"Collaborative interactive virtual environment";"Perception, cognition, interaction";"Perception, Cognition, Interaction";"Interaction et visualisation";"Interaction and Visualization";"U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)";"Université des sciences et technologies de Lille (Lille 1), CNRS, Université Charles de Gaulle (Lille 3)";"";"LIFL [U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)]";"Laboratoire d'informatique fondamentale de Lille (LIFL)";"04/12/2003";"31/12/2009";"";"200318282N";"";"4009-C, 5309-P, 6247-R, 7004-F";"081002-1";"environnements et interfaces 3D, métaphores d'interaction, monde virtuel coopératif, IHM, modèles physiques, simulation chirurgicale";"3D virtual environments, 3D graphic interfaces, metaphors for interaction, CVE, CHI, physically-based models, surgical simulation";
"SR0315CR";"ALEA";"Equipe";principal;"Del moral";"Pierre";"";"";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"28/02/2010";"";"Algorithmes d'apprentissage évolutionnaires avancés";"Advanced Learning Evolutionary Algorithms";"";"";"";"";"";"";"";"";"";"01/03/2009";"28/02/2010";"";"201019612D";"";"6643-C";"091041-0";"";"";
"SR0409HR";"ALEA";"EP";principal;"Del moral";"Pierre";"";"";" (Non renseigné)";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"31/12/2013";"";"Algorithmes d'apprentissage évolutionnaires avancés";"Advanced Learning Evolutionary Algorithms";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Approches stochastiques";"Stochastic approaches";"CNRS, U. DE BORDEAUX";"CNRS, Université de Bordeaux";"";"IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP]";"Institut de Mathématiques de Bordeaux (IMB)";"01/01/2010";"31/12/2013";"17/03/2010";"201019612D";"";"7220-C, 10054-F";"091041-1";"Algorithmes de Monte Carlo, Processus stochastiques en interaction, simulation d'événements rares, filtrage particulaire, inférence bayésienne, apprentissage non supervisé";"Monte Carlo algorithms, interacting stochastic processes, particle filters, rare event simulation, Bayesian inference, unsupervised learning";
